Name,Logo,Color
Rajasthan Royals,\Ipl Team Lgos\RRroundbig.png,"rgb(255,102,203)"
Gujarat Titans,\Ipl Team Lgos\GTroundbig.png,"rgb(0,34,102)"
Royal Challengers Bangalore,\Ipl Team Lgos\RCBroundbig.png,"rgb(179,0,0)"
Lucknow Super Giants,\Ipl Team Lgos\LSGroundbig.png,"rgb(0,229,230)"
Sunrisers Hyderabad,\Ipl Team Lgos\SRHroundbig.png,"rgb(255,83,26)"
Kings XI Punjab,\Ipl Team Lgos\PBKSroundbig.png,"rgb(255,128,128)"
Delhi Capitals,\Ipl Team Lgos\DCroundbig.png,"rgb(153,204,255)"
Mumbai Indians,\Ipl Team Lgos\MIroundbig.png,"rgb(51,51,255)"
Chennai Super Kings,\Ipl Team Lgos\CSKroundbig.png,"rgb(255,214,51)"
Kolkata Knight Riders,\Ipl Team Lgos\KKRroundbig.png,"rgb(128,0,127)"
Rising Pune Supergiants,\Ipl Team Lgos\PuneIplLogo.jpeg,"rgb(51,0,51)"
Kochi Tuskers Kerala,\Ipl Team Lgos\KochiIplLogo.png,"rgb(255,163,102)"
