Venue,Lattitude,Longitude
Narendra Modi Stadium,23.0917,72.5975
Eden Gardens,22.5646,88.3433
Wankhede Stadium,18.9367,72.8258
Brabourne Stadium,18.9323,72.8247
Dr DY Patil Sports Academy,19.0421,73.0267
Maharashtra Cricket Association Stadium,18.6745,73.7065
Dubai International Cricket Stadium,25.046,55.2184
Sharjah Cricket Stadium,25.3309,55.4209
Zayed Cricket Stadium,24.3967,54.5409
Arun Jaitley Stadium,28.6379,77.2432
MA Chidambaram Stadium,13.0629,80.2792
Sheikh Zayed Stadium,24.3967,54.5409
Rajiv Gandhi International Stadium,17.4065,78.5505
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17.7967,83.3523
Punjab Cricket Association IS Bindra Stadium,30.6909,76.7375
M.Chinnaswamy Stadium,12.9788,77.5996
Sawai Mansingh Stadium,26.8961,75.8045
Holkar Cricket Stadium,22.7243,75.8797
M Chinnaswamy Stadium,12.9788,77.5996
Feroz Shah Kotla,28.6379,77.2432
Green Park,26.4827,80.3468
Saurashtra Cricket Association Stadium,22.3617,70.7091
Shaheed Veer Narayan Singh International Stadium,21.2025,81.84
JSCA International Stadium Complex,23.3102,85.2748
Punjab Cricket Association Stadium,30.6909,76.7375
Sardar Patel Stadium,23.0917,72.5975
Barabati Stadium,20.4807,85.8686
Subrata Roy Sahara Stadium,18.6745,73.7065
Himachal Pradesh Cricket Association Stadium,32.1976,76.3258
Nehru Stadium,28.5828,77.2344
Vidarbha Cricket Association Stadium,21.0136,79.0397
New Wanderers Stadium,26.1312,28.0574
SuperSport Park,25.86,28.1955
Kingsmead,29.8484,31.0271
OUTsurance Oval,0.0,0.0
St George's Park,0.0,0.0
De Beers Diamond Oval,0.0,0.0
Buffalo Park,0.0,0.0
Newlands,0.0,0.0
